City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
636,San Lucas,MX,72.36,light rain,16.6,-92.7167,"Posada "" El rapidin"""
637,Kapoeta,SS,74.55,overcast clouds,4.7717,33.5903,Eastgate Hotel
638,Les Cayes,HT,78.1,few clouds,18.2,-73.75,Villa Orphee
644,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
647,Ribeira Brava,PT,72.23,few clouds,32.65,-17.0667,Hotel do Campo
649,Mareeba,AU,77.49,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
650,Natal,BR,75.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
651,Doha,QA,85.98,scattered clouds,25.2867,51.5333,Movenpick Hotel Doha
652,Kirakira,SB,81.23,light rain,-10.4544,161.9205,SanBiz Lodge
655,Dakar,SN,82.53,few clouds,14.6937,-17.4441,Redface Studios Meublés
657,Mendi,PG,66.22,moderate rain,-6.1761,143.6513,Kiburu Lodge
658,Shingu,JP,79.79,overcast clouds,33.7333,135.9833,Shingu UI Hotel
659,Nobres,BR,81.36,clear sky,-14.7203,-56.3275,Hotel Portal Nobres
662,Alibag,IN,82.38,overcast clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
663,Barra Do Garcas,BR,78.48,scattered clouds,-15.89,-52.2567,Hotel Pousada Tropical
664,Tabas,IR,85.71,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
667,Tahoua,NE,75.18,clear sky,14.8888,5.2692,Bungalows Guesthouse
670,Porto Novo,BJ,80.42,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
673,Marrakesh,MA,71.67,scattered clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
674,Huilong,CN,81.99,scattered clouds,31.8111,121.655,Hilton Garden Inn Qidong
675,Bella Vista,US,73.04,clear sky,36.4295,-94.2316,The Inn at Bella Vista
678,Sibolga,ID,75.65,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
683,Itoman,JP,87.82,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
684,Colotlan,MX,65.77,light rain,22.1,-103.2667,Hotel Hacienda de los Galvez
688,Cururupu,BR,74.57,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
690,Dongsheng,CN,70.09,scattered clouds,39.8161,109.9776,Crowne Plaza Ordos
692,Geraldton,AU,73.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
